Index	Tissue	Dataset_ID	Sample_ID	T:Tissue;C:Cellline	Cellline_name	Expression_level
117	Adrenal_Gland-Cancer	GSE8514	GSM211457	T	None	8.467606
118	Adrenal_Gland-Cancer	GSE8514	GSM211458	T	None	9.276124
119	Adrenal_Gland-Cancer	GSE8514	GSM211459	T	None	10.259744
120	Adrenal_Gland-Cancer	GSE8514	GSM211460	T	None	10.112439
121	Adrenal_Gland-Cancer	GSE2109	GSM38072	T	None	10.987264
122	Adrenal_Gland-Cancer	GSE2109	GSM46946	T	None	10.907641
123	Adrenal_Gland-Cancer	GSE19776	GSM493255	T	None	10.673309
124	Adrenal_Gland-Cancer	GSE19776	GSM493256	T	None	11.598983
125	Adrenal_Gland-Cancer	GSE19776	GSM493257	T	None	12.208844
126	Adrenal_Gland-Cancer	GSE19776	GSM493258	T	None	9.550747
127	Adrenal_Gland-Cancer	GSE19776	GSM493259	T	None	10.592457
128	Adrenal_Gland-Cancer	GSE19776	GSM493260	T	None	11.326991
129	Adrenal_Gland-Cancer	GSE19776	GSM493261	T	None	10.161132
130	Adrenal_Gland-Cancer	GSE19776	GSM493262	T	None	9.958552
131	Adrenal_Gland-Cancer	GSE19776	GSM493263	T	None	10.821774
132	Adrenal_Gland-Cancer	GSE19776	GSM493264	T	None	9.417852
133	Adrenal_Gland-Cancer	GSE19776	GSM493265	T	None	10.884933
134	Adrenal_Gland-Cancer	GSE19776	GSM493266	T	None	8.945444
135	Adrenal_Gland-Cancer	GSE19776	GSM493267	T	None	8.820179
136	Adrenal_Gland-Cancer	GSE19776	GSM493268	T	None	11.291171
137	Adrenal_Gland-Cancer	GSE19776	GSM493269	T	None	12.116994
138	Adrenal_Gland-Cancer	GSE19776	GSM493270	T	None	9.812178
139	Adrenal_Gland-Cancer	GSE19776	GSM493271	T	None	9.348728
140	Adrenal_Gland-Cancer	GSE19776	GSM493272	T	None	10.17742
141	Adrenal_Gland-Cancer	GSE19776	GSM493273	T	None	10.333156
142	Adrenal_Gland-Cancer	GSE33371	GSM825377	T	None	9.41996
143	Adrenal_Gland-Cancer	GSE33371	GSM825378	T	None	10.83684
144	Adrenal_Gland-Cancer	GSE33371	GSM825379	T	None	10.6339035
145	Adrenal_Gland-Cancer	GSE33371	GSM825380	T	None	11.086136
146	Adrenal_Gland-Cancer	GSE33371	GSM825381	T	None	10.483816
147	Adrenal_Gland-Cancer	GSE33371	GSM825382	T	None	10.5736475
148	Adrenal_Gland-Cancer	GSE33371	GSM825383	T	None	11.191676
149	Adrenal_Gland-Cancer	GSE33371	GSM825384	T	None	9.926296
150	Adrenal_Gland-Cancer	GSE33371	GSM825385	T	None	9.884171
151	Adrenal_Gland-Cancer	GSE33371	GSM825386	T	None	10.213104
152	Adrenal_Gland-Cancer	GSE33371	GSM825387	T	None	8.870365
153	Adrenal_Gland-Cancer	GSE33371	GSM825388	T	None	8.9008665
154	Adrenal_Gland-Cancer	GSE33371	GSM825389	T	None	10.193525
155	Adrenal_Gland-Cancer	GSE33371	GSM825390	T	None	11.131857
156	Adrenal_Gland-Cancer	GSE33371	GSM825391	T	None	10.994353
157	Adrenal_Gland-Cancer	GSE33371	GSM825392	T	None	10.548821
158	Adrenal_Gland-Cancer	GSE33371	GSM825393	T	None	10.554589
159	Adrenal_Gland-Cancer	GSE33371	GSM825394	T	None	11.666668
160	Adrenal_Gland-Cancer	GSE33371	GSM825395	T	None	10.902375
161	Adrenal_Gland-Cancer	GSE33371	GSM825396	T	None	11.24674
162	Adrenal_Gland-Cancer	GSE33371	GSM825397	T	None	11.303781
163	Adrenal_Gland-Cancer	GSE33371	GSM825398	T	None	11.400346
164	Adrenal_Gland-Cancer	GSE33371	GSM825399	T	None	11.397675
165	Adrenal_Gland-Cancer	GSE33371	GSM825400	T	None	11.427836
166	Adrenal_Gland-Cancer	GSE33371	GSM825401	T	None	11.1369915
167	Adrenal_Gland-Cancer	GSE33371	GSM825402	T	None	11.156715
168	Adrenal_Gland-Cancer	GSE33371	GSM825403	T	None	9.0633955
169	Adrenal_Gland-Cancer	GSE33371	GSM825404	T	None	11.181152
170	Adrenal_Gland-Cancer	GSE33371	GSM825405	T	None	11.366869
171	Adrenal_Gland-Cancer	GSE33371	GSM825406	T	None	10.87575
172	Adrenal_Gland-Cancer	GSE33371	GSM825407	T	None	9.537218
173	Adrenal_Gland-Cancer	GSE33371	GSM825408	T	None	9.202124
174	Adrenal_Gland-Cancer	GSE33371	GSM825409	T	None	8.665336
175	Adrenal_Gland-Cancer	GSE33371	GSM825410	T	None	9.463525
176	Adrenal_Gland-Cancer	GSE33371	GSM825411	T	None	10.524542
177	Adrenal_Gland-Cancer	GSE33371	GSM825412	T	None	9.850187
178	Adrenal_Gland-Cancer	GSE33371	GSM825413	T	None	11.831307
179	Adrenal_Gland-Cancer	GSE33371	GSM825414	T	None	12.161761
180	Adrenal_Gland-Cancer	GSE33371	GSM825415	T	None	9.162392
181	Adrenal_Gland-Cancer	GSE33371	GSM825416	T	None	11.029287
182	Adrenal_Gland-Cancer	GSE33371	GSM825417	T	None	10.5736475
183	Adrenal_Gland-Cancer	GSE33371	GSM825418	T	None	11.21614
184	Adrenal_Gland-Cancer	GSE33371	GSM825419	T	None	9.97298
185	Adrenal_Gland-Cancer	GSE33371	GSM825420	T	None	10.985842
186	Adrenal_Gland-Cancer	GSE33371	GSM825421	T	None	10.922585
187	Adrenal_Gland-Cancer	GSE33371	GSM825422	T	None	12.052568
188	Adrenal_Gland-Cancer	GSE33371	GSM825423	T	None	12.084808
189	Adrenal_Gland-Cancer	GSE33371	GSM825424	T	None	10.482808
190	Adrenal_Gland-Cancer	GSE33371	GSM825425	T	None	9.84549
191	Adrenal_Gland-Cancer	GSE33371	GSM825426	T	None	8.554589
192	Adrenal_Gland-Cancer	GSE33371	GSM825427	T	None	12.049168
193	Adrenal_Gland-Cancer	GSE33371	GSM825428	T	None	11.1755495
194	Adrenal_Gland-Cancer	GSE33371	GSM825429	T	None	10.960726
195	Adrenal_Gland-Cancer	GSE33371	GSM825430	T	None	11.33985
196	Adrenal_Gland-Cancer	GSE33371	GSM825431	T	None	11.80292
197	Adrenal_Gland-Normal	GSE43346	GSM1060745	T	None	9.957102
198	Adrenal_Gland-Normal	GSE8514	GSM211447	T	None	10.604553
199	Adrenal_Gland-Normal	GSE8514	GSM211448	T	None	11.020286
200	Adrenal_Gland-Normal	GSE8514	GSM211449	T	None	9.799282
201	Adrenal_Gland-Normal	GSE8514	GSM211450	T	None	8.618385
202	Adrenal_Gland-Normal	GSE19776	GSM493251	T	None	10.079485
203	Adrenal_Gland-Normal	GSE19776	GSM493252	T	None	11.365776
204	Adrenal_Gland-Normal	GSE19776	GSM493253	T	None	9.681238
205	Adrenal_Gland-Normal	GSE19776	GSM493254	T	None	9.923327
206	Adrenal_Gland-Normal	GSE33371	GSM825367	T	None	10.923327
207	Adrenal_Gland-Normal	GSE33371	GSM825368	T	None	10.949826
208	Adrenal_Gland-Normal	GSE33371	GSM825369	T	None	11.741888
209	Adrenal_Gland-Normal	GSE33371	GSM825370	T	None	11.40833
210	Adrenal_Gland-Normal	GSE33371	GSM825371	T	None	10.432542
211	Adrenal_Gland-Normal	GSE33371	GSM825372	T	None	10.886458
212	Adrenal_Gland-Normal	GSE33371	GSM825373	T	None	11.370143
213	Adrenal_Gland-Normal	GSE33371	GSM825374	T	None	11.851749
214	Adrenal_Gland-Normal	GSE33371	GSM825375	T	None	11.530406
215	Adrenal_Gland-Normal	GSE33371	GSM825376	T	None	10.675957
246	Bladder-Cancer	GSE2109	GSM102434	T	None	10.451211
247	Bladder-Cancer	GSE2109	GSM102437	T	None	11.677279
248	Bladder-Cancer	GSE2109	GSM102470	T	None	13.099841
249	Bladder-Cancer	GSE2109	GSM102475	T	None	11.867665
253	Bladder-Cancer	GSE2109	GSM117677	T	None	9.667111
254	Bladder-Cancer	GSE2109	GSM137919	T	None	11.0821495
255	Bladder-Cancer	GSE2109	GSM137976	T	None	11.859146
256	Bladder-Cancer	GSE2109	GSM152625	T	None	10.9151325
257	Bladder-Cancer	GSE2109	GSM152717	T	None	10.699573
258	Bladder-Cancer	GSE2109	GSM152732	T	None	10.748193
259	Bladder-Cancer	GSE2109	GSM152779	T	None	12.571041
260	Bladder-Cancer	GSE2109	GSM152797	T	None	10.511753
261	Bladder-Cancer	GSE2109	GSM179874	T	None	13.01646
262	Bladder-Cancer	GSE2109	GSM179921	T	None	11.2425785
263	Bladder-Cancer	GSE2109	GSM179926	T	None	12.934796
264	Bladder-Cancer	GSE7476	GSM180995	T	None	9.935165
265	Bladder-Cancer	GSE7476	GSM180996	T	None	11.273212
266	Bladder-Cancer	GSE7476	GSM180997	T	None	11.189207
267	Bladder-Cancer	GSE7476	GSM180998	T	None	11.950556
268	Bladder-Cancer	GSE7476	GSM180999	T	None	11.798471
269	Bladder-Cancer	GSE7476	GSM181000	T	None	12.501589
270	Bladder-Cancer	GSE7476	GSM181001	T	None	12.543515
271	Bladder-Cancer	GSE7476	GSM181002	T	None	11.803727
272	Bladder-Cancer	GSE2109	GSM203714	T	None	12.69109
273	Bladder-Cancer	GSE2109	GSM203738	T	None	12.0704565
274	Bladder-Cancer	GSE2109	GSM203753	T	None	10.388018
275	Bladder-Cancer	GSE2109	GSM203793	T	None	10.169925
276	Bladder-Cancer	GSE2109	GSM231906	T	None	10.326429
277	Bladder-Cancer	GSE2109	GSM46920	T	None	10.997885
278	Bladder-Cancer	GSE2109	GSM53030	T	None	10.308339
279	Bladder-Cancer	GSE2109	GSM53097	T	None	8.290019
280	Bladder-Cancer	GSE2109	GSM53117	T	None	11.208844
281	Bladder-Cancer	GSE2109	GSM53137	T	None	11.90049
282	Bladder-Cancer	GSE2109	GSM53139	T	None	10.2300205
283	Bladder-Cancer	GSE30522	GSM756939	T	None	12.0017605
284	Bladder-Cancer	GSE30522	GSM756940	T	None	10.78136
285	Bladder-Cancer	GSE2109	GSM76532	T	None	9.451211
286	Bladder-Cancer	GSE31189	GSM773124	T	None	7.665336
287	Bladder-Cancer	GSE31189	GSM773125	T	None	7.383704
288	Bladder-Cancer	GSE31189	GSM773126	T	None	8.204571
289	Bladder-Cancer	GSE31189	GSM773127	T	None	7.84549
290	Bladder-Cancer	GSE31189	GSM773128	T	None	7.2761245
291	Bladder-Cancer	GSE31189	GSM773129	T	None	8.348728
292	Bladder-Cancer	GSE31189	GSM773130	T	None	7.539159
293	Bladder-Cancer	GSE31189	GSM773131	T	None	11.357552
294	Bladder-Cancer	GSE31189	GSM773132	T	None	7.960002
295	Bladder-Cancer	GSE31189	GSM773133	T	None	7.7615514
296	Bladder-Cancer	GSE31189	GSM773134	T	None	10.283089
297	Bladder-Cancer	GSE31189	GSM773135	T	None	10.687376
298	Bladder-Cancer	GSE31189	GSM773136	T	None	10.168673
299	Bladder-Cancer	GSE31189	GSM773137	T	None	10.850968
300	Bladder-Cancer	GSE31189	GSM773138	T	None	6.70044
301	Bladder-Cancer	GSE31189	GSM773139	T	None	7.636625
302	Bladder-Cancer	GSE31189	GSM773140	T	None	8.558421
303	Bladder-Cancer	GSE31189	GSM773141	T	None	8.308339
304	Bladder-Cancer	GSE31189	GSM773142	T	None	7.159871
305	Bladder-Cancer	GSE31189	GSM773143	T	None	6.83289
306	Bladder-Cancer	GSE31189	GSM773144	T	None	7.7073593
307	Bladder-Cancer	GSE31189	GSM773145	T	None	8.113742
308	Bladder-Cancer	GSE31189	GSM773146	T	None	8.144658
309	Bladder-Cancer	GSE31189	GSM773147	T	None	11.478264
310	Bladder-Cancer	GSE31189	GSM773148	T	None	6.6582117
311	Bladder-Cancer	GSE31189	GSM773149	T	None	10.355351
312	Bladder-Cancer	GSE31189	GSM773150	T	None	10.941048
313	Bladder-Cancer	GSE31189	GSM773151	T	None	6.9886847
314	Bladder-Cancer	GSE31189	GSM773152	T	None	9.674192
315	Bladder-Cancer	GSE31189	GSM773153	T	None	6.2854023
316	Bladder-Cancer	GSE31189	GSM773154	T	None	11.361944
317	Bladder-Cancer	GSE31189	GSM773155	T	None	10.751544
318	Bladder-Cancer	GSE31189	GSM773156	T	None	8.299208
319	Bladder-Cancer	GSE31189	GSM773157	T	None	11.347621
320	Bladder-Cancer	GSE31189	GSM773158	T	None	11.423641
321	Bladder-Cancer	GSE31189	GSM773159	T	None	7.7210994
322	Bladder-Cancer	GSE31189	GSM773160	T	None	12.711667
323	Bladder-Cancer	GSE31189	GSM773161	T	None	11.204571
324	Bladder-Cancer	GSE31189	GSM773162	T	None	8.748193
325	Bladder-Cancer	GSE31189	GSM773163	T	None	7.67948
326	Bladder-Cancer	GSE31189	GSM773164	T	None	10.238404
327	Bladder-Cancer	GSE31189	GSM773165	T	None	8.625709
328	Bladder-Cancer	GSE31189	GSM773166	T	None	11.970466
329	Bladder-Cancer	GSE31189	GSM773167	T	None	10.700439
330	Bladder-Cancer	GSE31189	GSM773168	T	None	11.196602
331	Bladder-Cancer	GSE31189	GSM773169	T	None	9.157347
332	Bladder-Cancer	GSE31189	GSM773170	T	None	10.349834
333	Bladder-Cancer	GSE31189	GSM773171	T	None	10.674192
334	Bladder-Cancer	GSE31189	GSM773172	T	None	7.7073593
335	Bladder-Cancer	GSE31189	GSM773173	T	None	10.542065
336	Bladder-Cancer	GSE31189	GSM773174	T	None	10.784635
337	Bladder-Cancer	GSE31189	GSM773175	T	None	10.73047
338	Bladder-Cancer	GSE31684	GSM786491	T	None	11.39821
339	Bladder-Cancer	GSE31684	GSM786492	T	None	9.709084
340	Bladder-Cancer	GSE31684	GSM786493	T	None	11.050529
341	Bladder-Cancer	GSE31684	GSM786494	T	None	11.84549
342	Bladder-Cancer	GSE31684	GSM786495	T	None	12.654636
343	Bladder-Cancer	GSE31684	GSM786496	T	None	11.463525
344	Bladder-Cancer	GSE31684	GSM786497	T	None	11.68431
345	Bladder-Cancer	GSE31684	GSM786498	T	None	12.120562
346	Bladder-Cancer	GSE31684	GSM786499	T	None	12.058668
347	Bladder-Cancer	GSE31684	GSM786500	T	None	11.868822
348	Bladder-Cancer	GSE31684	GSM786501	T	None	10.737247
349	Bladder-Cancer	GSE31684	GSM786502	T	None	11.575067
350	Bladder-Cancer	GSE31684	GSM786503	T	None	11.415742
351	Bladder-Cancer	GSE31684	GSM786504	T	None	11.209454
352	Bladder-Cancer	GSE31684	GSM786505	T	None	11.828533
353	Bladder-Cancer	GSE31684	GSM786506	T	None	12.002111
354	Bladder-Cancer	GSE31684	GSM786507	T	None	12.067099
355	Bladder-Cancer	GSE31684	GSM786508	T	None	10.89406
356	Bladder-Cancer	GSE31684	GSM786509	T	None	11.158609
357	Bladder-Cancer	GSE31684	GSM786510	T	None	11.674192
358	Bladder-Cancer	GSE31684	GSM786511	T	None	11.027215
359	Bladder-Cancer	GSE31684	GSM786512	T	None	10.385862
360	Bladder-Cancer	GSE31684	GSM786513	T	None	10.538189
361	Bladder-Cancer	GSE31684	GSM786514	T	None	11.007028
362	Bladder-Cancer	GSE31684	GSM786515	T	None	11.039604
363	Bladder-Cancer	GSE31684	GSM786516	T	None	11.100005
364	Bladder-Cancer	GSE31684	GSM786517	T	None	11.101319
365	Bladder-Cancer	GSE31684	GSM786518	T	None	10.603626
366	Bladder-Cancer	GSE31684	GSM786519	T	None	10.511753
367	Bladder-Cancer	GSE31684	GSM786520	T	None	11.047806
368	Bladder-Cancer	GSE31684	GSM786521	T	None	11.955287
369	Bladder-Cancer	GSE31684	GSM786522	T	None	11.579316
370	Bladder-Cancer	GSE31684	GSM786523	T	None	10.099348
371	Bladder-Cancer	GSE31684	GSM786524	T	None	11.541097
372	Bladder-Cancer	GSE31684	GSM786525	T	None	12.0754795
373	Bladder-Cancer	GSE31684	GSM786526	T	None	11.371232
374	Bladder-Cancer	GSE31684	GSM786527	T	None	11.622052
375	Bladder-Cancer	GSE31684	GSM786528	T	None	12.219169
376	Bladder-Cancer	GSE31684	GSM786529	T	None	10.376125
377	Bladder-Cancer	GSE31684	GSM786530	T	None	11.530894
378	Bladder-Cancer	GSE31684	GSM786531	T	None	11.216746
379	Bladder-Cancer	GSE31684	GSM786532	T	None	11.755305
380	Bladder-Cancer	GSE31684	GSM786533	T	None	10.062046
381	Bladder-Cancer	GSE31684	GSM786534	T	None	11.308339
382	Bladder-Cancer	GSE31684	GSM786535	T	None	11.257388
383	Bladder-Cancer	GSE31684	GSM786536	T	None	11.7911625
384	Bladder-Cancer	GSE31684	GSM786537	T	None	10.24674
385	Bladder-Cancer	GSE31684	GSM786538	T	None	11.043027
386	Bladder-Cancer	GSE31684	GSM786539	T	None	11.006326
387	Bladder-Cancer	GSE31684	GSM786540	T	None	12.795228
388	Bladder-Cancer	GSE31684	GSM786541	T	None	9.643856
389	Bladder-Cancer	GSE31684	GSM786542	T	None	11.822969
390	Bladder-Cancer	GSE31684	GSM786543	T	None	11.831703
391	Bladder-Cancer	GSE31684	GSM786544	T	None	10.649256
392	Bladder-Cancer	GSE31684	GSM786545	T	None	11.47978
393	Bladder-Cancer	GSE31684	GSM786546	T	None	10.332037
394	Bladder-Cancer	GSE31684	GSM786547	T	None	11.043027
395	Bladder-Cancer	GSE31684	GSM786548	T	None	12.076147
396	Bladder-Cancer	GSE31684	GSM786549	T	None	9.717676
397	Bladder-Cancer	GSE31684	GSM786550	T	None	9.328675
398	Bladder-Cancer	GSE31684	GSM786551	T	None	11.131857
399	Bladder-Cancer	GSE31684	GSM786552	T	None	10.273795
400	Bladder-Cancer	GSE31684	GSM786553	T	None	10.105908
401	Bladder-Cancer	GSE31684	GSM786554	T	None	12.0017605
402	Bladder-Cancer	GSE31684	GSM786555	T	None	11.184256
403	Bladder-Cancer	GSE31684	GSM786556	T	None	10.0223675
404	Bladder-Cancer	GSE31684	GSM786557	T	None	11.683872
405	Bladder-Cancer	GSE31684	GSM786558	T	None	10.337622
406	Bladder-Cancer	GSE31684	GSM786559	T	None	11.73767
407	Bladder-Cancer	GSE31684	GSM786560	T	None	10.604553
408	Bladder-Cancer	GSE31684	GSM786561	T	None	10.205793
409	Bladder-Cancer	GSE31684	GSM786562	T	None	10.365229
410	Bladder-Cancer	GSE31684	GSM786563	T	None	11.938845
411	Bladder-Cancer	GSE31684	GSM786564	T	None	11.629356
412	Bladder-Cancer	GSE31684	GSM786565	T	None	10.360847
413	Bladder-Cancer	GSE31684	GSM786566	T	None	11.849796
414	Bladder-Cancer	GSE31684	GSM786567	T	None	11.993646
415	Bladder-Cancer	GSE31684	GSM786568	T	None	11.295195
416	Bladder-Cancer	GSE31684	GSM786569	T	None	10.921097
417	Bladder-Cancer	GSE31684	GSM786570	T	None	10.057992
418	Bladder-Cancer	GSE31684	GSM786571	T	None	11.300924
419	Bladder-Cancer	GSE31684	GSM786572	T	None	11.275542
420	Bladder-Cancer	GSE31684	GSM786573	T	None	10.330916
421	Bladder-Cancer	GSE31684	GSM786574	T	None	11.75238
422	Bladder-Cancer	GSE31684	GSM786575	T	None	10.941048
423	Bladder-Cancer	GSE31684	GSM786576	T	None	11.398744
424	Bladder-Cancer	GSE31684	GSM786577	T	None	10.820179
425	Bladder-Cancer	GSE31684	GSM786578	T	None	9.79604
426	Bladder-Cancer	GSE31684	GSM786579	T	None	11.534303
427	Bladder-Cancer	GSE31684	GSM786580	T	None	10.887982
428	Bladder-Cancer	GSE31684	GSM786581	T	None	11.197217
429	Bladder-Cancer	GSE31684	GSM786582	T	None	11.309476
430	Bladder-Cancer	GSE31684	GSM786583	T	None	10.820179
433	Bladder-Cancer	GSE2109	GSM88993	T	None	11.723234
434	Bladder-Cancer	GSE2109	GSM89048	T	None	12.029633
435	Bladder-Cancer	GSE2109	GSM89073	T	None	11.834471
436	Bladder-Normal	GSE43346	GSM1060746	T	None	9.108524
